People Media Colombia Country > Region > City Report -- Geo 25-1-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Range: 2/24/2020 to 2/24/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Date,Campaign ID,Campaign Name,Start Date,End Date,Country,Region,City,Imps. Won,Clicks,CTR,Total eCPM,Total eCPC,Total eCPA,CTC,VTC,Total Conversions,Click CVR,View CVR,Total CVRM,CTC Revenue,VTC Revenue,Total Revenue,Media Spend,Data Spend,Total Spend,Audio/Video Starts,25% Complete,50% Complete,75% Complete,100% Complete,Completion Rate,eCPCV,Companion Imps. Won,Companion Clicks,Companion CTC,Companion CTC Revenue
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Dabeiba,3,0,0.00%,$0.14 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Donmatias,8,0,0.00%,$0.28 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Doradal,1,0,0.00%,$0.18 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,El Bagre,3,0,0.00%,$0.26 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,El Carmen de Viboral,4,0,0.00%,$0.19 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Entrerrios,4,0,0.00%,$0.20 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Envigado,169,1,0.59%,$0.23 ,$0.04 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.03 ,$0.00 ,$0.04 ,7,7,7,7,7,100.00%,$0.01 ,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Fredonia,2,0,0.00%,$0.26 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Girardota,8,0,0.00%,$0.19 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Guadalupe,1,0,0.00%,$0.26 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
